id,SAMPLE_ID
1,0
2,20
3,0
4,0
5,59
6,0
7,65
8,5
9,0
10,5
11,69
12,0
13,1
14,9
15,3
16,0
17,8
18,30
19,42
20,12
21,3
22,0
23,3
24,2
25,0
26,16
27,0
28,0
29,0
30,22
31,22
32,16
33,6
34,0
35,0
36,0
37,0
38,0
39,27
40,20
41,0
42,64
43,1
44,33
45,17
46,1
47,16
48,11
49,8
50,6
51,2
52,28
53,33
54,2
55,8
56,20
57,1
58,28
59,5
60,7
61,10
62,4
63,6
64,98
65,55
66,15
67,1
68,0
69,0
70,41
71,6
72,2
73,0
74,0
75,57
76,1
77,8
78,0
79,0
80,0
81,0
82,0
83,11
84,24
85,1
86,0
87,0
88,5
89,5
90,6
91,1
92,0
93,27
94,0
95,12
96,66
97,170
98,0
99,0
100,3
101,21
102,10
103,0
104,1
105,1
106,0
107,0
108,0
109,0
110,19
111,16
112,12
113,0
114,7
115,0
116,2
117,3
118,4
119,22
120,0
121,9
122,8
123,0
124,0
125,0
126,11
127,5
128,4
129,19
130,1
131,8
132,0
133,0
134,20
135,48
136,0
137,6
138,7
139,32
140,0
141,0
142,5
143,2
144,7
145,10
146,23
147,11
148,33
149,37
150,18
151,15
152,12
153,9
154,10
155,0
156,0
157,0
158,38
159,13
160,0
161,3
162,4
163,0
164,5
165,0
166,0
167,4
168,2
169,47
170,0
171,2
172,0
173,12
174,58
175,3
176,1
177,2
178,1
179,5
180,5
181,0
182,22
183,4
184,1
185,5
186,26
187,42
188,0
189,2
190,0
191,0
192,17
193,0
194,2
195,1
196,25
197,0
198,0
199,6
200,13
201,17
202,2
203,1
204,0
205,0
206,0
207,1
208,16
209,7
210,12
211,10
212,0
213,2
214,1
215,28
216,0
217,2
218,1
219,17
220,3
221,4
222,3
223,0
224,6
225,3
226,0
227,3
228,17
229,25
230,3
231,0
232,0
233,1
234,5
235,6
236,1
237,34
238,10
239,0
240,11
241,17
242,0
243,0
244,11
245,27
246,10
247,8
248,38
249,101
250,6
251,18
252,45
253,7
254,0
255,0
256,1
257,2
258,8
259,0
260,0
261,3
262,41
263,8
264,4
265,8
266,2
267,0
268,0
269,5
270,3
271,7
272,4
273,1
274,5
275,0
276,2
277,4
278,0
279,1
280,0
281,2
282,7
283,3
284,14
285,0
286,0
287,3
288,65
289,0
290,0
291,4
292,2
293,0
294,0
295,0
296,0
297,0
298,18
299,3
300,4
301,6
302,1
303,2
304,4
305,10
306,1
307,0
308,12
309,0
310,2
311,7
312,9
313,15
314,4
315,10
316,3
317,18
318,0
319,2
320,1
321,1
322,11
323,0
324,3
325,0
326,22
327,0
328,8
329,0
330,30
331,3
332,0
333,13
334,5
335,44
336,26
337,0
338,3
339,0
340,1
341,17
342,23
343,0
344,0
345,0
346,11
347,3
348,2
349,0
350,1
351,0
352,2
353,4
354,3
355,10
356,24
357,12
358,6
359,27
360,0
361,0
362,6
363,6
364,1
365,1
366,13
367,24
368,1
369,1
370,6
371,26
372,12
373,2
374,1
375,9
376,9
377,11
378,5
379,0
380,8
381,5
382,1
383,0
384,5
385,2
386,0
387,0
388,0
389,8
390,13
391,2
392,38
393,0
394,2
395,28
396,48
397,16
398,0
399,0
400,12
401,19
402,11
403,14
404,10
405,17
406,0
407,3
408,6
409,5
410,3
411,0
412,0
413,0
414,5
415,14
416,5
