"","x","sample_id","replicate_id","control_status","sample_ID","sample_name","experiment_group","fastq_filepath","raw_total_sequences","reads_mapped","error_rate","average_quality","percent_mapped","percent_peptides_detected","percent_peptides_between_10_and_100"
"1","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep168_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",0,"GEN00228373","empirical","CTL_RA.A150553759_D-1","CTL_RA.A150553759","CTL_RA","../data-raw/fastq/FC_07336_GEN00228373_1.trim.fastq.gz",4051614,2552154,0.002079783,35,62.9910450501948,15.6342343887663,2.49966863407065
"2","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep168_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",1,"GEN00228374","empirical","CTL_RA.A150553759_D-2","CTL_RA.A150553759","CTL_RA","../data-raw/fastq/FC_07336_GEN00228374_1.trim.fastq.gz",4589525,2929587,0.001817987,35,63.8320305478236,14.5559306704507,3.2723360128492
"3","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep168_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",2,"GEN00227705","beads_only","CONTROL.PBS_D-1","CONTROL.PBS","CONTROL","../data-raw/fastq/FC_07266_GEN00227705_1.trim.fastq.gz",1388755,840678,0.002014822,35,60.5346515404085,63.3025877729871,20.4277349384439
"4","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep168_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",3,"GEN00227706","beads_only","CONTROL.PBS_D-2","CONTROL.PBS","CONTROL","../data-raw/fastq/FC_07266_GEN00227706_1.trim.fastq.gz",1819674,1079061,0.002017856,35,59.2996877462666,63.4515075200574,23.9347559977233
"5","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep168_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",4,"GEN00227707","beads_only","CONTROL.PBS_D-3","CONTROL.PBS","CONTROL","../data-raw/fastq/FC_07266_GEN00227707_1.trim.fastq.gz",2927424,1725777,0.002096925,35,58.9520684396931,70.0780464224175,32.253210351092
"6","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep168_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",5,"GEN00227735","library","CONTROL.Input_Library_D-1","CONTROL.Input_Library","CONTROL","../data-raw/fastq/FC_07272_GEN00227735_1.trim.fastq.gz",5266562,3296281,0.002022267,35.1,62.588857778566,80.2474718728802,37.8638202983073
"7","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep168_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",6,"GEN00227897","empirical","CTL_FU.RP-119_D-1","CTL_FU.RP-119","CTL_FU","../data-raw/fastq/FC_07332_GEN00227897_1.trim.fastq.gz",30432,6630,0.003092976,34.9,21.7862776025237,4.47227051934787,0.00155936907927053
"8","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep168_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",7,"GEN00227898","empirical","CTL_FU.RP-119_D-2","CTL_FU.RP-119","CTL_FU","../data-raw/fastq/FC_07332_GEN00227898_1.trim.fastq.gz",1556060,982860,0.002047768,35.1,63.16337416295,50.5625423953468,19.3018704632106
"9","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep50_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",0,"GEN00228373","empirical","CTL_RA.A150553759_D-1","CTL_RA.A150553759","CTL_RA","../data-raw/fastq/FC_07336_GEN00228373_1.trim.fastq.gz",4051614,2552154,0.002079783,35,62.9910450501948,15.6342343887663,2.49966863407065
"10","20231219_PASC_phipflow_SEARCH2_debug_trim50.0_n2_rd0_pep50_2024-02-15/wide_data/data_sample_annotation_table.csv.gz",1,"GEN00228374","empirical","CTL_RA.A150553759_D-2","CTL_RA.A150553759","CTL_RA","../data-raw/fastq/FC_07336_GEN00228374_1.trim.fastq.gz",4589525,2929587,0.001817987,35,63.8320305478236,14.5559306704507,3.2723360128492
